,client_id,end,run_id,start,success
77,0,1527856103249.0908,77,1527856034749.0908,True
78,0,1527856198422.5454,78,1527856124821.5454,True
79,0,1527856291580.0,79,1527856219971.0,True
80,0,1527856401606.5454,80,1527856321880.5454,True
81,0,1527856532891.182,81,1527856452879.182,True
82,0,1527856669540.7273,82,1527856597822.7273,True
83,0,1527856781817.5454,83,1527856713202.5454,True
84,0,1527856901608.818,84,1527856827300.818,True
85,0,1527856982701.4546,85,1527856913745.4546,True
86,0,1527857083221.5454,86,1527857008908.5454,True
87,0,1527857182032.182,87,1527857108145.182,True
88,0,1527857290539.6365,88,1527857221984.6365,True
89,0,1527857443604.4546,89,1527857368622.4546,True
90,0,1527857582460.2727,90,1527857509044.2727,True
91,0,1527857715997.5454,91,1527857647735.5454,True
92,0,1527857858322.818,92,1527857788886.818,True
93,0,1527857985346.3635,93,1527857910471.3635,True
94,0,1527858128233.182,94,1527858051274.182,True
95,0,1527858246116.5454,95,1527858170059.5454,True
96,0,1527858379323.6365,96,1527858305405.6365,True
97,0,1527858524041.182,97,1527858454404.182,True
98,0,1527858718824.0908,98,1527858605673.0908,True
99,0,1527858822097.818,99,1527858752636.818,True
100,1,1527848489686.6365,0,1527848423891.6365,True
101,1,1527848585049.5454,1,1527848518587.5454,True
102,1,1527848670420.9092,2,1527848605106.9092,True
103,1,1527848776772.0908,3,1527848704146.0908,True
104,1,1527848869414.9092,4,1527848804266.9092,True
105,1,1527848980110.5454,5,1527848913946.5454,True
106,1,1527849067762.0,6,1527849002007.0,True
107,1,1527849164105.3635,7,1527849098476.3635,True
108,1,1527849250513.3635,8,1527849185529.3635,True
109,1,1527849345782.4546,9,1527849280844.4546,True
110,1,1527849460009.3635,10,1527849395225.3635,True
111,1,1527849563967.9092,11,1527849498139.9092,True
112,1,1527849662708.4546,12,1527849597263.4546,True
113,1,1527849775960.3635,13,1527849711765.3635,True
114,1,1527849872385.182,14,1527849806186.182,True
115,1,1527849959766.0,15,1527849894845.0,True
116,1,1527850060804.4546,16,1527849995831.4546,True
117,1,1527850153729.6365,17,1527850088275.6365,True
118,1,1527850267462.0908,18,1527850197966.0908,True
119,1,1527850374916.5454,19,1527850310485.5454,True
120,1,1527850484432.4546,20,1527850419535.4546,True
121,1,1527850593856.9092,21,1527850528384.9092,True
122,1,1527850726109.182,22,1527850661424.182,True
123,1,1527850843289.3635,23,1527850778344.3635,True
124,1,1527850939291.9092,24,1527850874413.9092,True
125,1,1527851044398.0,25,1527850978530.0,True
126,1,1527851145664.5454,26,1527851079726.5454,True
127,1,1527851230492.818,27,1527851165755.818,True
128,1,1527851333757.7273,28,1527851253381.7273,True
129,1,1527851432206.0,29,1527851365123.0,True
130,1,1527851502052.7273,30,1527851429337.7273,True
131,1,1527851599222.9092,31,1527851534828.9092,True
132,1,1527851709796.9092,32,1527851639081.9092,True
133,1,1527851814170.0,33,1527851732561.0,True
134,1,1527851887374.818,34,1527851822433.818,True
135,1,1527851985333.818,35,1527851919658.818,True
136,1,1527852084316.9092,36,1527852018400.9092,True
137,1,1527852177023.2727,37,1527852111128.2727,True
138,1,1527852261200.4546,38,1527852196366.4546,True
139,1,1527852346223.818,39,1527852280474.818,True
140,1,1527852440139.3635,40,1527852374176.3635,True
141,1,1527852522327.2727,41,1527852458053.2727,True
142,1,1527852603292.0,42,1527852537214.0,True
143,1,1527852692469.4546,43,1527852626535.4546,True
144,1,1527852782493.0,44,1527852716698.0,True
145,1,1527852869915.2727,45,1527852804233.2727,True
146,1,1527852958837.6365,46,1527852893742.6365,True
147,1,1527853038800.0908,47,1527852973764.0908,True
148,1,1527853127261.0,48,1527853061202.0,True
149,1,1527853219211.4546,49,1527853153461.4546,True
150,1,1527853296812.182,50,1527853231140.182,True
151,1,1527853393643.2727,51,1527853328030.2727,True
152,1,1527853483980.4546,52,1527853418463.4546,True
