,cpu_load,mem_avail,timestamp
101,69.6,25721065472,1526054984065.9253
102,64.5,25726504960,1526054984264.016
103,65.2,25722126336,1526054984464.2898
104,69.3,25719189504,1526054984664.059
105,61.7,25723899904,1526054984864.118
106,61.9,25722347520,1526054985065.4763
107,65.5,25719349248,1526054985264.1458
108,63.2,25719816192,1526054985465.9717
109,66.2,25719967744,1526054985669.5999
110,67.1,25719627776,1526054985865.3267
111,56.8,25720369152,1526054986064.366
112,65.6,25718259712,1526054986264.1492
113,64.8,25718824960,1526054986464.2634
114,62.3,25720938496,1526054986663.9578
115,68.4,25721118720,1526054986866.9268
116,64.9,25720627200,1526054987064.139
117,63.9,25719549952,1526054987266.7585
118,63.1,25718644736,1526054987463.9568
119,66.2,25718771712,1526054987664.2031
120,65.6,25722167296,1526054987864.1016
121,66.7,25754710016,1526054988064.4216
122,64.2,25757384704,1526054988264.7646
123,64.7,25753763840,1526054988466.8108
124,62.9,25755353088,1526054988667.5015
125,65.5,25752281088,1526054988863.9666
126,69.5,25754017792,1526054989064.2305
127,61.4,25754419200,1526054989264.72
128,65.1,25754259456,1526054989464.579
129,62.6,25756827648,1526054989670.3867
130,63.8,25754750976,1526054989869.5898
131,63.5,25755013120,1526054990064.1462
132,65.4,25753001984,1526054990263.8481
133,66.0,25751322624,1526054990469.3665
134,61.7,25751740416,1526054990664.0872
135,63.9,25755140096,1526054990864.3823
136,66.5,25755332608,1526054991063.965
137,61.9,25752240128,1526054991264.2676
138,66.7,25749778432,1526054991464.0867
139,62.8,25751015424,1526054991665.061
140,60.8,25751973888,1526054991865.9216
141,62.6,25751937024,1526054992064.0195
142,63.4,25752510464,1526054992264.2683
143,67.1,25754521600,1526054992464.7683
144,59.7,25754611712,1526054992664.311
145,64.7,25755734016,1526054992863.9521
146,62.4,25758433280,1526054993064.115
147,59.0,25756147712,1526054993263.834
148,66.9,25755918336,1526054993466.1252
149,63.8,25758638080,1526054993664.2642
150,65.6,25758363648,1526054993866.1294
151,61.9,25758945280,1526054994064.1548
152,59.6,25758507008,1526054994265.466
153,60.2,25760264192,1526054994465.4868
154,61.6,25762877440,1526054994663.9507
155,62.9,25756819456,1526054994864.1616
156,61.3,25759891456,1526054995064.9026
157,61.5,25756401664,1526054995264.1116
158,63.6,25755418624,1526054995464.623
159,68.6,25753210880,1526054995664.0017
160,62.3,25753612288,1526054995866.1248
161,61.7,25756360704,1526054996065.5688
162,61.6,25754025984,1526054996264.187
163,58.4,25756643328,1526054996464.1797
164,67.3,25755144192,1526054996665.7468
165,61.5,25754464256,1526054996864.239
166,59.6,25754959872,1526054997064.7864
167,60.3,25754841088,1526054997265.8896
168,60.5,25756610560,1526054997465.5366
169,62.0,25753927680,1526054997664.8013
170,62.7,25753477120,1526054997865.7893
171,60.9,25766653952,1526054998065.3474
172,59.2,25766166528,1526054998264.2903
173,58.4,25765441536,1526054998464.5854
174,58.1,25765494784,1526054998664.0518
175,59.3,25765568512,1526054998864.4255
176,60.5,25766006784,1526054999064.565
177,62.2,25763909632,1526054999264.1958
178,59.6,25763655680,1526054999466.1667
179,60.7,25767022592,1526054999664.0488
180,58.3,25767260160,1526054999863.9722
181,63.1,25766580224,1526055000064.2502
182,59.9,25767424000,1526055000264.168
183,60.9,25769484288,1526055000464.2576
184,61.3,25769369600,1526055000664.8962
185,59.4,25769283584,1526055000864.1377
186,61.8,25769426944,1526055001064.112
187,63.0,25768783872,1526055001264.1135
188,59.6,25769414656,1526055001464.4297
189,61.0,25769467904,1526055001665.3586
190,59.6,25766420480,1526055001864.1802
191,61.5,25769549824,1526055002064.5425
192,59.2,25763725312,1526055002265.1248
193,63.3,25768673280,1526055002464.043
194,67.3,25762897920,1526055002664.108
195,64.5,25766608896,1526055002865.0374
196,57.3,25767911424,1526055003064.353
197,71.1,25763479552,1526055003264.1018
198,69.9,25768108032,1526055003463.956
199,66.2,25767723008,1526055003664.1511
200,60.5,25773948928,1526055003866.3716
201,60.1,25768173568,1526055004064.3433
202,64.0,25771675648,1526055004266.4766
203,63.3,25771331584,1526055004464.2288
204,67.3,25772433408,1526055004665.374
205,64.8,25773117440,1526055004864.5588
206,65.4,25772691456,1526055005066.1575
207,65.8,25773375488,1526055005264.71
208,65.4,25773010944,1526055005464.546
209,63.5,25771110400,1526055005669.4194
210,69.1,25769476096,1526055005864.153
211,69.0,25773592576,1526055006065.3865
212,64.9,25771782144,1526055006263.998
213,64.5,25773187072,1526055006464.184
214,62.0,25774837760,1526055006664.413
215,62.8,25772941312,1526055006864.3196
216,65.6,25775632384,1526055007066.0107
217,65.0,25775501312,1526055007264.4592
218,60.5,25775132672,1526055007463.9602
219,60.5,25774350336,1526055007663.944
220,61.5,25774866432,1526055007864.206
221,63.1,25775108096,1526055008064.1575
222,57.8,25774317568,1526055008264.1907
223,60.0,25770778624,1526055008464.5442
224,61.3,25771126784,1526055008665.4153
225,60.0,25771126784,1526055008864.3467
226,59.2,25771319296,1526055009063.9983
227,60.3,25769631744,1526055009264.023
228,56.4,25770278912,1526055009464.1304
229,61.1,25770029056,1526055009664.1174
230,57.6,25769320448,1526055009864.2266
231,57.7,25770278912,1526055010065.8708
232,59.1,25765478400,1526055010264.9343
233,57.8,25768476672,1526055010464.0618
234,56.4,25767981056,1526055010664.1594
235,55.6,25768873984,1526055010864.1807
236,55.6,25768640512,1526055011064.2764
237,58.9,25768779776,1526055011264.2554
238,59.4,25768677376,1526055011464.6985
239,54.9,25768116224,1526055011665.3591
240,57.7,25768755200,1526055011864.0198
241,57.4,25768927232,1526055012063.739
242,54.8,25768116224,1526055012264.0164
243,55.3,25768394752,1526055012464.912
244,57.7,25769459712,1526055012664.2554
245,54.7,25769594880,1526055012863.9072
246,57.3,25768611840,1526055013064.184
247,59.6,25769299968,1526055013264.239
248,60.1,25765654528,1526055013465.57
249,58.7,25766924288,1526055013663.7957
250,61.1,25766322176,1526055013867.268
251,62.1,25766817792,1526055014066.34
252,64.6,25766588416,1526055014266.1016
253,59.2,25766711296,1526055014466.5132
254,61.3,25767116800,1526055014665.2346
255,60.3,25771208704,1526055014864.1868
256,62.3,25767936000,1526055015064.1406
257,65.6,25770467328,1526055015265.467
258,61.9,25773801472,1526055015464.3018
259,62.7,25771421696,1526055015664.217
260,60.0,25774800896,1526055015864.44
261,66.0,25772277760,1526055016064.2756
262,61.9,25772380160,1526055016268.3604
263,61.4,25775046656,1526055016463.9363
264,63.9,25772949504,1526055016664.468
265,63.6,25774178304,1526055016865.0735
266,66.7,25772240896,1526055017064.4014
267,65.2,25772191744,1526055017265.9507
268,61.5,25773891584,1526055017464.4766
269,64.8,25770610688,1526055017665.5544
270,65.1,25771122688,1526055017863.9446
271,65.2,25769754624,1526055018068.6536
272,56.4,25773363200,1526055018264.6804
273,59.2,25772843008,1526055018464.3242
274,60.1,25769267200,1526055018663.8918
275,59.9,25770209280,1526055018864.0884
276,61.1,25770061824,1526055019065.999
277,56.9,25769598976,1526055019264.0808
278,58.6,25770143744,1526055019464.1514
279,63.0,25768988672,1526055019666.1838
280,59.6,25769066496,1526055019870.2175
281,62.3,25769320448,1526055020065.5295
282,56.5,25769013248,1526055020264.044
283,58.0,25769254912,1526055020464.197
284,56.8,25767968768,1526055020664.2703
285,59.8,25768841216,1526055020864.7493
286,59.5,25768841216,1526055021063.9617
287,56.9,25769054208,1526055021265.15
288,57.0,25768448000,1526055021464.183
289,58.9,25768288256,1526055021665.4917
290,56.1,25769447424,1526055021864.063
291,60.6,25765683200,1526055022068.399
292,60.8,25768747008,1526055022264.2273
293,62.7,25766801408,1526055022465.584
294,55.3,25770172416,1526055022663.9866
295,63.8,25764155392,1526055022865.5981
296,66.9,25766711296,1526055023066.3347
297,64.1,25766309888,1526055023267.278
298,62.5,25767612416,1526055023465.4001
299,66.5,25764720640,1526055023669.4683
300,70.3,25767264256,1526055023864.3223
301,71.0,25771212800,1526055024063.9497
302,65.8,25770549248,1526055024264.371
303,67.6,25769623552,1526055024464.8552
304,69.6,25767997440,1526055024666.1343
305,68.4,25770090496,1526055024863.981
306,66.0,25769406464,1526055025064.36
307,66.2,25767518208,1526055025265.5725
308,67.5,25769287680,1526055025463.8735
309,66.5,25766924288,1526055025669.582
310,68.9,25768325120,1526055025865.4539
311,68.5,25769480192,1526055026064.0234
312,67.1,25767682048,1526055026269.512
313,68.0,25767841792,1526055026465.4368
314,70.3,25769160704,1526055026665.443
315,69.4,25770999808,1526055026867.5098
316,65.6,25769005056,1526055027064.2898
317,67.7,25772343296,1526055027264.15
318,67.1,25768677376,1526055027464.0671
319,66.9,25771692032,1526055027669.4485
320,63.4,25775882240,1526055027864.5215
321,62.3,25776459776,1526055028068.9998
322,59.7,25774473216,1526055028266.115
323,61.3,25771053056,1526055028467.0679
324,65.0,25772945408,1526055028666.161
325,61.9,25772666880,1526055028864.3687
326,59.7,25772830720,1526055029065.7786
327,58.4,25772486656,1526055029264.223
328,62.0,25771810816,1526055029465.298
329,65.2,25772142592,1526055029669.519
330,59.6,25772040192,1526055029864.4817
331,60.9,25772040192,1526055030066.2507
332,60.0,25772154880,1526055030264.3765
333,62.7,25772228608,1526055030467.4866
334,61.8,25772318720,1526055030666.7783
335,57.6,25772445696,1526055030864.6218
