,cpu_load,mem_avail,timestamp,run,run_start_cutoff,run_end_cutoff
214,93.5,26106286080,1526055356477.4563,0,1526055328825.4666,1526055388017.6387
215,94.9,26108944384,1526055356677.5337,0,1526055328825.4666,1526055388017.6387
216,94.4,26105438208,1526055356877.4805,0,1526055328825.4666,1526055388017.6387
217,91.4,26103668736,1526055357075.0505,0,1526055328825.4666,1526055388017.6387
218,86.6,26107711488,1526055357273.421,0,1526055328825.4666,1526055388017.6387
219,93.5,26105298944,1526055357474.75,0,1526055328825.4666,1526055388017.6387
220,90.6,26104840192,1526055357673.0251,0,1526055328825.4666,1526055388017.6387
221,90.3,26107080704,1526055357876.7402,0,1526055328825.4666,1526055388017.6387
222,90.8,26106793984,1526055358076.21,0,1526055328825.4666,1526055388017.6387
223,89.8,26105987072,1526055358277.5005,0,1526055328825.4666,1526055388017.6387
224,92.3,26110099456,1526055358473.9722,0,1526055328825.4666,1526055388017.6387
225,92.4,26106568704,1526055358673.8433,0,1526055328825.4666,1526055388017.6387
226,94.4,26103246848,1526055358877.4163,0,1526055328825.4666,1526055388017.6387
227,91.0,26104254464,1526055359077.6067,0,1526055328825.4666,1526055388017.6387
228,92.5,26103390208,1526055359273.208,0,1526055328825.4666,1526055388017.6387
229,89.6,26107289600,1526055359473.3362,0,1526055328825.4666,1526055388017.6387
230,92.4,26100191232,1526055359677.562,0,1526055328825.4666,1526055388017.6387
231,89.3,26105823232,1526055359872.7634,0,1526055328825.4666,1526055388017.6387
232,88.3,26103902208,1526055360077.1584,0,1526055328825.4666,1526055388017.6387
233,89.0,26101542912,1526055360277.36,0,1526055328825.4666,1526055388017.6387
234,90.4,26103943168,1526055360477.422,0,1526055328825.4666,1526055388017.6387
235,88.3,26104365056,1526055360673.3474,0,1526055328825.4666,1526055388017.6387
236,88.7,26097623040,1526055360874.1108,0,1526055328825.4666,1526055388017.6387
237,92.4,26100375552,1526055361075.027,0,1526055328825.4666,1526055388017.6387
238,89.3,26096869376,1526055361277.4167,0,1526055328825.4666,1526055388017.6387
239,88.0,26097057792,1526055361481.4893,0,1526055328825.4666,1526055388017.6387
240,84.2,26103160832,1526055361674.1223,0,1526055328825.4666,1526055388017.6387
241,89.0,26096984064,1526055361872.7808,0,1526055328825.4666,1526055388017.6387
242,86.4,26103762944,1526055362079.5544,0,1526055328825.4666,1526055388017.6387
